cid,firstlast,lastname,party,office,gender,first_elected,phone,website,congress_office,twitter_id,youtube_url,facebook_id,birthdate,state
N00040915,Haley Stevens,Stevens,D,MI11,F,2018,202-225-8171,https://stevens.house.gov/,227 Cannon House Office Building,RepHaleyStevens,,,6/1/83,MI
N00042649,Rashida Tlaib,Tlaib,D,MI12,F,2018,202-225-5126,https://tlaib.house.gov/,1628 Longworth House Office Building,RepRashida,,,7/24/76,MI
N00049602,Shri Thanedar,Thanedar,D,MI13,M,2022,,,,,,,,MI
N00029277,Gary Peters,Peters,D,MIS1,M,2014,202-224-6221,https://www.peters.senate.gov,724 Hart Senate Office Building,SenGaryPeters,https://youtube.com/RepGaryPeters,SenGaryPeters,12/1/58,MI
N00004118,Debbie Stabenow,Stabenow,D,MIS2,F,2000,202-224-4822,https://www.stabenow.senate.gov,731 Hart Senate Office Building,SenStabenow,https://youtube.com/senatorstabenow,SenatorStabenow,4/29/50,MI
N00050145,Mike Flood,Flood,R,NE01,M,2022,,,,,,,,NE
N00037049,Don Bacon,Bacon,R,NE02,M,2016,202-225-4155,https://bacon.house.gov,1516 Longworth House Office Building,RepDonBacon,,RepDonBacon,8/16/63,NE
N00027623,Adrian Smith,Smith,R,NE03,M,2006,202-225-6435,http://adriansmith.house.gov,320 Cannon House Office Building,RepAdrianSmith,https://youtube.com/RepAdrianSmith,AdrianSmithNE,12/19/70,NE
N00033443,Deb Fischer,Fischer,R,NES1,F,2012,202-224-6551,https://www.fischer.senate.gov,454 Russell Senate Office Building,SenatorFischer,https://youtube.com/senatordebfischer,senatordebfischer,3/1/51,NE
N00035544,Ben Sasse,Sasse,R,NES2,M,2014,202-224-4224,https://www.sasse.senate.gov/public,136 Russell Senate Office Building,SenSasse,,SenatorSasse,2/22/72,NE
N00027695,Pete Ricketts,Ricketts,R,NES2,M,2023,,,,,,,,NE
N00029459,Rob Wittman,Wittman,R,VA01,M,2007,202-225-4261,http://wittman.house.gov,2055 Rayburn House Office Building,RobWittman,https://youtube.com/RobWittman,RepRobWittman,2/3/59,VA
N00048315,Jen Kiggans,Kiggans,R,VA02,F,2022,,,,,,,,VA
N00002147,Bobby Scott,Scott,D,VA03,M,1992,202-225-8351,http://bobbyscott.house.gov,1201 Longworth House Office Building,BobbyScott,https://youtube.com/repbobbyscott,RepBobbyScott,4/30/47,VA
N00051961,Jennifer McClellan,McClellan,D,VA04,F,2023,,,,,,,,VA
N00045557,Bob Good,Good,R,VA05,M,2020,202225-4711,https://good.house.gov/,"1213 Longworth House Office Building, Washington, DC 20515",@RepBobGood,,,9/11/65,VA
N00042296,Ben Cline,Cline,R,VA06,M,2018,202-225-5431,https://cline.house.gov/,1009 Longworth House Office Building,RepBenCline,,,2/29/72,VA
N00041418,Abigail Spanberger,Spanberger,D,VA07,F,2018,202-225-2815,https://spanberger.house.gov/,1239 Longworth House Office Building,RepSpanberger,,,8/7/79,VA
N00036018,Don Beyer,Beyer,D,VA08,M,2014,202-225-4376,http://beyer.house.gov,1119 Longworth House Office Building,repdonbeyer,,repdonbeyer,6/20/50,VA
N00032029,Morgan Griffith,Griffith,R,VA09,M,2010,202-225-3861,http://morgangriffith.house.gov,2202 Rayburn House Office Building,RepMGriffith,https://youtube.com/RepMorganGriffith,RepMorganGriffith,3/15/58,VA
N00041002,Jennifer Wexton,Wexton,D,VA10,F,2018,202-225-5136,https://wexton.house.gov/,1217 Longworth House Office Building,RepWexton,,,5/27/68,VA
N00029891,Gerry Connolly,Connolly,D,VA11,M,2008,202-225-1492,https://connolly.house.gov,2238 Rayburn House Office Building,GerryConnolly,https://youtube.com/repconnolly,CongressmanGerryConnolly,3/30/50,VA
N00033177,Tim Kaine,Kaine,D,VAS1,M,2012,202-224-4024,https://www.kaine.senate.gov,231 Russell Senate Office Building,SenKaineOffice,https://youtube.com/SenatorTimKaine,SenatorKaine,2/26/58,VA
N00002097,Mark Warner,Warner,D,VAS2,M,2008,202-224-2023,https://www.warner.senate.gov,703 Hart Senate Office Building,MarkWarner,https://youtube.com/SenatorMarkWarner,MarkRWarner,12/15/54,VA
N00033987,Doug LaMalfa,Lamalfa,R,CA01,M,2012,202-225-3076,http://lamalfa.house.gov,322 Cannon House Office Building,RepLaMalfa,https://youtube.com/RepLaMalfa,RepLaMalfa,7/2/60,CA
N00033030,Jared Huffman,Huffman,D,CA02,M,2012,202-225-5161,http://huffman.house.gov,1406 Longworth House Office Building,RepHuffman,https://youtube.com/rephuffman,RepHuffman,2/18/64,CA
N00050259,Kevin Kiley,Kiley,R,CA03,M,2022,,,,,,,,CA
N00007419,Mike Thompson,Thompson,D,CA04,M,1998,202-225-3311,http://mikethompson.house.gov,231 Cannon House Office Building,RepThompson,https://youtube.com/CongressmanMThompson,RepMikeThompson,1/24/51,CA
N00006863,Tom McClintock,Mcclintock,R,CA05,M,2008,202-225-2511,http://mcclintock.house.gov,2312 Rayburn House Office Building,RepMcClintock,https://youtube.com/McClintockCA04,Congressman-Tom-McClintock-81125319109,7/10/56,CA
N00030717,Ami Bera,Bera,D,CA06,M,2012,202-225-5716,http://bera.house.gov,1431 Longworth House Office Building,RepBera,https://youtube.com/repamibera,RepAmiBera,3/2/65,CA
N00027459,Doris Matsui,Matsui,D,CA07,F,2005,202-225-7163,https://matsui.house.gov,2311 Rayburn House Office Building,DorisMatsui,https://youtube.com/RepDorisMatsui,doris.matsui,9/25/44,CA
N00030856,John Garamendi,Garamendi,D,CA08,M,2009,202-225-1880,http://garamendi.house.gov,2438 Rayburn House Office Building,RepGaramendi,https://youtube.com/garamendiCA10,repgaramendi,1/24/45,CA
N00040853,Josh Harder,Harder,D,CA09,M,2018,202-225-4540,https://harder.house.gov/,131 Cannon House Office Building,RepJoshHarder,,,8/1/86,CA
N00030709,Mark Desaulnier,Desaulnier,D,CA10,M,2014,202-225-2095,https://desaulnier.house.gov,115 Cannon House Office Building,RepDeSaulnier,,RepMarkDeSaulnier,3/31/52,CA
N00007360,Nancy Pelosi,Pelosi,D,CA11,F,1987,202-225-4965,http://pelosi.house.gov,233 Cannon House Office Building,NancyPelosi,https://youtube.com/nancypelosi,NancyPelosi,3/26/40,CA
N00008046,Barbara Lee,Lee,D,CA12,F,1998,202-225-2661,https://lee.house.gov,2267 Rayburn House Office Building,RepBarbaraLee,https://youtube.com/RepLee,RepBarbaraLee,7/16/46,CA
N00050562,John Duarte,Duarte,R,CA13,M,2022,,,,,,,,CA
N00033508,Eric Swalwell,Swalwell,D,CA14,M,2012,202-225-5065,https://swalwell.house.gov,129 Cannon House Office Building,RepSwalwell,https://youtube.com/ericswalwell,CongressmanEricSwalwell,11/16/80,CA
N00049438,Kevin Mullin,Mullin,D,CA15,M,2022,,,,,,,,CA
N00007335,Anna Eshoo,Eshoo,D,CA16,F,1992,202-225-8104,http://eshoo.house.gov,241 Cannon House Office Building,RepAnnaEshoo,https://youtube.com/RepAnnaEshoo,RepAnnaEshoo,12/13/42,CA
N00026427,Ro Khanna,Khanna,D,CA17,M,2016,202-225-2631,https://khanna.house.gov,513 Cannon House Office Building,RepRoKhanna,,RepRoKhanna,9/13/76,CA
N00007479,Zoe Lofgren,Lofgren,D,CA18,F,1994,202-225-3072,https://lofgren.house.gov,1401 Longworth House Office Building,RepZoeLofgren,https://youtube.com/RepZoeLofgren,zoelofgren,12/21/47,CA
N00038601,Jimmy Panetta,Panetta,D,CA19,M,2016,202-225-2861,https://panetta.house.gov,228 Cannon House Office Building,RepJimmyPanetta,,RepJimmyPanetta,10/1/69,CA
N00028152,Kevin McCarthy,Mccarthy,R,CA20,M,2006,202-225-2915,http://kevinmccarthy.house.gov,2421 Rayburn House Office Building,GOPLeader,https://youtube.com/repkevinmccarthy,CongressmanKevinMcCarthy,1/26/65,CA
N00026341,Jim Costa,Costa,D,CA21,M,2004,202-225-3341,https://costa.house.gov,2081 Rayburn House Office Building,RepJimCosta,https://youtube.com/RepJimCostaCA20,RepJimCosta,4/13/52,CA
N00033367,David Valadao,Valadao,R,CA22,M,2012,202-225-4695,http://valadao.house.gov,1728 Longworth House Office Building,RepDavidValadao,https://youtube.com/congressmanvaladao,CongressmanDavidValadao,4/14/77,CA
N00045377,Jay Obernolte,Obernolte,R,CA23,M,2020,202-225-5861,https://obernolte.house.gov/,"1029 Longworth House Office Building, Washington, DC 20515",@JayObernolte,,,8/18/70,CA
N00037015,Salud Carbajal,Carbajal,D,CA24,M,2016,202-225-3601,https://carbajal.house.gov,212 Cannon House Office Building,RepCarbajal,,repsaludcarbajal,11/18/64,CA
N00033510,Raul Ruiz,Ruiz,D,CA25,M,2012,202-225-5330,https://ruiz.house.gov,1319 Longworth House Office Building,CongressmanRuiz,https://youtube.com/repraulruiz,CongressmanRaulRuizMD,8/25/72,CA
N00034254,Julia Brownley,Brownley,D,CA26,F,2012,202-225-5811,http://juliabrownley.house.gov,1019 Longworth House Office Building,JuliaBrownley26,https://youtube.com/RepJuliaBrownley,RepJuliaBrownley,8/28/52,CA
N00044298,Mike Garcia,Garcia,R,CA27,M,2020,,,,,,,,CA
N00030600,Judy Chu,Chu,D,CA28,F,2009,202-225-5464,https://chu.house.gov,2423 Rayburn House Office Building,RepJudyChu,https://youtube.com/RepJudyChu,RepJudyChu,7/7/53,CA
N00033373,Tony Cardenas,Cardenas,D,CA29,M,2012,202-225-6131,https://cardenas.house.gov,1510 Longworth House Office Building,RepCardenas,https://youtube.com/repcardenas,repcardenas,3/31/63,CA
N00009585,Adam Schiff,Schiff,D,CA30,M,2000,202-225-4176,http://schiff.house.gov,2372 Rayburn House Office Building,RepAdamSchiff,https://youtube.com/adamschiff,RepAdamSchiff,6/22/60,CA
N00006789,Grace Napolitano,Napolitano,D,CA31,F,1998,202-225-5256,http://napolitano.house.gov,1610 Longworth House Office Building,GraceNapolitano,https://youtube.com/RepGraceNapolitano,RepGraceNapolitano,12/4/36,CA
N00006897,Brad Sherman,Sherman,D,CA32,M,1996,202-225-5911,http://sherman.house.gov,2181 Rayburn House Office Building,BradSherman,https://youtube.com/shermanca27,63158229861,10/24/54,CA
N00033997,Pete Aguilar,Aguilar,D,CA33,M,2014,202-225-3201,https://aguilar.house.gov,1223 Longworth House Office Building,reppeteaguilar,,reppeteaguilar,6/19/79,CA
N00040597,Jimmy Gomez,Gomez,D,CA34,M,2017,202-225-6235,https://gomez.house.gov,1530 Longworth House Office Building,RepJimmyGomez,,RepJimmyGomez,11/25/74,CA
N00036107,Norma Torres,Torres,D,CA35,F,2014,202-225-6161,https://torres.house.gov,1713 Longworth House Office Building,NormaJTorres,,RepNormaTorres,4/4/65,CA
N00035825,Ted Lieu,Lieu,D,CA36,M,2014,202-225-3976,https://lieu.house.gov,236 Cannon House Office Building,RepTedLieu,,RepTedLieu,3/29/69,CA
N00049460,Sydney Kamlager,Kamlager,D,CA37,F,2022,,,,,,,,CA
N00024870,Linda Sanchez,Sanchez,D,CA38,F,2002,202-225-6676,https://lindasanchez.house.gov,2329 Rayburn House Office Building,RepLindaSanchez,https://youtube.com/LindaTSanchez,CongresswomanLindaSanchez,1/28/69,CA
N00006701,Mark Takano,Takano,D,CA39,M,2012,202-225-2305,https://takano.house.gov,1507 Longworth House Office Building,RepMarkTakano,https://youtube.com/RepMarkTakano,RepMarkTakano,12/10/60,CA
N00042386,Young Kim,Kim,R,CA40,F,2020,202225-4111,https://youngkim.house.gov/,"1306 Longworth House Office Building Washington, DC  20515",@RepYoungKim,,,10/18/62,CA
N00007099,Ken Calvert,Calvert,R,CA41,M,1992,202-225-1986,http://calvert.house.gov,2205 Rayburn House Office Building,KenCalvert,https://youtube.com/RepKenCalvert,RepKenCalvert,6/8/53,CA
N00049470,Robert Garcia,Garcia,D,CA42,M,2022,,,,,,,,CA
N00006690,Maxine Waters,Waters,D,CA43,F,1990,202-225-2201,https://waters.house.gov,2221 Rayburn House Office Building,MaxineWaters,https://youtube.com/MaxineWaters,MaxineWaters,8/15/38,CA
N00037019,Nanette Barragan,Barragan,D,CA44,F,2016,202-225-8220,https://barragan.house.gov,1320 Longworth House Office Building,RepBarragan,,CongresswomanBarragan,9/15/76,CA
N00044501,Michelle Steel,Steel,R,CA45,F,2020,202225-2415,https://steel.house.gov/,"1113 Longworth House Office Building Washington, DC  20515",@RepSteel,,,6/21/55,CA
N00037260,Lou Correa,Correa,D,CA46,M,2016,202-225-2965,https://correa.house.gov,1039 Longworth House Office Building,RepLouCorrea,,RepLouCorrea,1/24/58,CA
N00040865,Katie Porter,Porter,D,CA47,F,2018,202-225-5611,https://porter.house.gov/,1117 Longworth House Office Building,,,,1/3/74,CA
N00007017,Darrell Issa,Issa,R,CA48,M,2000,202-225-3906,https://issa.house.gov,2269 Rayburn House Office Building,DarrellIssa,https://youtube.com/repdarrellissa,darrellissa,11/1/53,CA
N00040667,Mike Levin,Levin,D,CA49,M,2018,202-225-3906,https://mikelevin.house.gov/,1626 Longworth House Office Building,RepMikeLevin,,,10/28/78,CA
N00033591,Scott Peters,Peters,D,CA50,M,2012,202-225-0508,http://scottpeters.house.gov,1122 Longworth House Office Building,RepScottPeters,,RepScottPeters,6/17/58,CA
N00042081,Sara Jacobs,Jacobs,D,CA51,F,2020,202225-2040,https://sarajacobs.house.gov/,"1232 Longworth HOB Washington, DC 20515",@RepSaraJacobs,,,2/1/89,CA
N00007021,Juan Vargas,Vargas,D,CA52,M,2012,202-225-8045,http://vargas.house.gov,1605 Longworth House Office Building,RepJuanVargas,https://youtube.com/RepJuanVargas,RepJuanVargas,3/7/61,CA
N00047888,Alex Padilla,Padilla,D,CAS1,M,2021,202224- 3553,https://www.padilla.senate.gov/,"Russell Senate Office Building Suite B03 Washington, DC 20510",@SenAlexPadilla,,,3/22/73,CA
N00007364,Dianne Feinstein,Feinstein,D,CAS2,F,1992,202-224-3841,https://www.feinstein.senate.gov,331 Hart Senate Office Building,SenFeinstein,https://youtube.com/SenatorFeinstein,senatorfeinstein,6/22/33,CA
N00041335,Russ Fulcher,Fulcher,R,ID01,M,2018,202-225-6611,https://fulcher.house.gov/,1520 Longworth House Office Building,RepRussFulcher,,,7/19/73,ID
N00006263,Mike Simpson,Simpson,R,ID02,M,1998,202-225-5531,http://simpson.house.gov,2084 Rayburn House Office Building,CongMikeSimpson,https://youtube.com/CongMikeSimpson,96007744606,9/8/50,ID
N00029441,James E Risch,Risch,R,IDS1,M,2008,202-224-2752,https://www.risch.senate.gov,483 Russell Senate Office Building,SenatorRisch,https://youtube.com/SenatorJamesRisch,SenatorJimRisch,5/3/43,ID
N00006267,Mike Crapo,Crapo,R,IDS2,M,1998,202-224-6142,https://www.crapo.senate.gov,239 Dirksen Senate Office Building,MikeCrapo,https://youtube.com/senatorcrapo,mikecrapo,5/20/51,ID
N00038260,James Comer,Comer,R,KY01,M,2016,202-225-3115,https://comer.house.gov,1513 Longworth House Office Building,KYComer,,congressmancomer,8/19/72,KY
N00029675,Brett Guthrie,Guthrie,R,KY02,M,2008,202-225-3501,https://guthrie.house.gov,2434 Rayburn House Office Building,RepGuthrie,https://youtube.com/BrettGuthrie,CongressmanGuthrie,2/18/64,KY
N00049295,Morgan McGarvey,McGarvey,D,KY03,M,2022,,,,,,,,KY
N00034041,Thomas Massie,Massie,R,KY04,M,2012,202-225-3465,https://massie.house.gov,2453 Rayburn House Office Building,RepThomasMassie,https://youtube.com/repthomasmassie,RepThomasMassie,1/13/71,KY
N00003473,Hal Rogers,Rogers,R,KY05,M,1980,202-225-4601,http://halrogers.house.gov,2406 Rayburn House Office Building,RepHalRogers,https://youtube.com/RepHalRogers,CongressmanHalRogers,12/31/37,KY
N00031233,Andy Barr,Barr,R,KY06,M,2012,202-225-4706,https://barr.house.gov,1427 Longworth House Office Building,RepAndyBarr,https://youtube.com/RepAndyBarr,RepAndyBarr,7/24/73,KY
N00003389,Mitch McConnell,Mcconnell,R,KYS1,M,1984,202-224-2541,https://www.mcconnell.senate.gov,317 Russell Senate Office Building,McConnellPress,,mitchmcconnell,2/20/42,KY
N00030836,Rand Paul,Paul,R,KYS2,M,2010,202-224-4343,https://www.paul.senate.gov,167 Russell Senate Office Building,SenRandPaul,https://youtube.com/SenatorRandPaul,SenatorRandPaul,1/7/63,KY
N00039503,Matt Gaetz,Gaetz,R,FL01,M,2016,202-225-4136,https://gaetz.house.gov,507 Cannon House Office Building,RepMattGaetz,,CongressmanMattGaetz,5/7/82,FL
N00037442,Neal Dunn,Dunn,R,FL02,M,2016,202-225-5235,https://dunn.house.gov,423 Cannon House Office Building,drnealdunnfl2,,drnealdunnfl2,2/16/53,FL
N00045978,Kat Cammack,Cammack,R,FL03,F,2020,202225-5744,https://cammack.house.gov/,"1626 Longworth House Office Building Washington, DC  20515",@RepKatCammack,,RepKatCammack,2/16/88,FL
N00051369,Aaron Bean,Bean,R,FL04,M,2022,,,,,,,,FL
N00039777,John Rutherford,Rutherford,R,FL05,M,2016,202-225-2501,https://rutherford.house.gov,230 Cannon House Office Building,RepRutherfordFL,,RepRutherfordFL,9/2/52,FL
N00042403,Michael Waltz,Waltz,R,FL06,M,2018,202-225-2706,https://waltz.house.gov/,216 Cannon House Office Building,,,,1/31/74,FL
N00048179,Cory Mills,Mills,R,FL07,M,2022,,,,,,,,FL
N00029662,Bill Posey,Posey,R,FL08,M,2008,202-225-3671,http://posey.house.gov,2150 Rayburn House Office Building,CongBillPosey,https://youtube.com/CongressmanPosey,bill.posey15,12/18/47,FL
N00037422,Darren Soto,Soto,D,FL09,M,2016,202-225-9889,https://soto.house.gov,1429 Longworth House Office Building,RepDarrenSoto,,CongressmanDarrenSoto,2/25/78,FL
N00049075,Maxwell Frost,Frost,D,FL10,M,2022,,,,,,,,FL
N00026335,Daniel Webster,Webster,R,FL11,M,2010,202-225-1002,http://webster.house.gov,1210 Longworth House Office Building,RepWebster,https://youtube.com/repdanwebster,RepWebster,4/27/49,FL
N00027462,Gus Bilirakis,Bilirakis,R,FL12,M,2006,202-225-5755,https://bilirakis.house.gov,2112 Rayburn House Office Building,RepGusBilirakis,https://youtube.com/RepGusBilirakis,GusBilirakis,2/8/63,FL
N00045228,Anna Paulina Luna,Luna,R,FL13,F,2022,,,,,,,,FL
N00027514,Kathy Castor,Castor,D,FL14,F,2006,202-225-3376,http://castor.house.gov,2052 Rayburn House Office Building,USRepKCastor,https://youtube.com/RepKathyCastor,USRepKathyCastor,8/20/66,FL
N00051178,Laurel Lee,Lee,R,FL15,F,2022,,,,,,,,FL
N00027626,Vernon Buchanan,Buchanan,R,FL16,M,2006,202-225-5015,https://buchanan.house.gov,2104 Rayburn House Office Building,VernBuchanan,https://youtube.com/vernbuchanan,CongressmanBuchanan,5/8/51,FL
N00042808,Greg Steube,Steube,R,FL17,M,2018,202-225-5792,https://steube.house.gov/,521 Cannon House Office Building,,,,5/19/78,FL
N00046760,Scott Franklin,Franklin,R,FL18,M,2020,202225-1252,https://franklin.house.gov/,"1517 Longworth House Office Building, Washington, DC 20515",@RepFranklin,,RepFranklin,8/23/64,FL
N00034016,Byron Donalds,Donalds,R,FL19,M,2020,202225-2536,https://donalds.house.gov/,"523 Cannon HOB Washington, DC 20515",@RepDonaldsPress,,RepDonaldsPress,10/28/78,FL
N00043504,Sheila Cherfilus-McCormick,Cherfilus-McCormick,D,FL20,F,2022,,,,,,,,FL
N00037269,Brian Mast,Mast,R,FL21,M,2016,202-225-3026,https://mast.house.gov,2182 Rayburn House Office Building,repbrianmast,,repbrianmast,7/10/80,FL
N00002893,Lois Frankel,Frankel,D,FL22,F,2012,202-225-9890,http://frankel.house.gov,1037 Longworth House Office Building,RepLoisFrankel,https://youtube.com/reploisfrankel,RepLoisFrankel,5/16/48,FL
N00050596,Jared Moskowitz,Moskowitz,D,FL23,M,2022,,,,,,,,FL
N00030650,Frederica Wilson,Wilson,D,FL24,F,2010,202-225-4506,https://wilson.house.gov,2445 Rayburn House Office Building,RepWilson,https://youtube.com/repfredericawilson,RepWilson,11/5/42,FL
N00026106,Debbie Wasserman Schultz,Schultz,D,FL25,F,2004,202-225-7931,https://wassermanschultz.house.gov,1114 Longworth House Office Building,RepDWStweets,https://youtube.com/RepWassermanSchultz,RepDWS,9/27/66,FL
N00025337,Mario Diaz-Balart,Diaz-Balart,R,FL26,M,2002,202-225-4211,http://mariodiazbalart.house.gov,440 Cannon House Office Building,MarioDB,https://youtube.com/MarioDiazBalart,mdiazbalart,9/25/61,FL
N00042810,Maria Salazar,Salazar,R,FL27,F,2020,202225-3931,https://salazar.house.gov/,"1616 Longworth House Office Building Washington, DC  20515",@RepMariaSalazar,,,11/1/61,FL
N00046394,Carlos Gimenez,Gimenez,R,FL28,M,2020,202225-2778,https://gimenez.house.gov/,"419 Cannon House Office Building Washington, DC  20515",@RepCarlos,,RepCarlosGimenez,1/17/54,FL
N00043290,Rick Scott,Scott,R,FLS1,M,2018,,,,,,,12/1/52,FL
N00030612,Marco Rubio,Rubio,R,FLS2,M,2010,202-224-3041,https://www.rubio.senate.gov,284 Russell Senate Office Building,SenRubioPress,https://youtube.com/SenatorMarcoRubio,SenatorMarcoRubio,5/28/71,FL
N00038779,Brian Fitzpatrick,Fitzpatrick,R,PA01,M,2016,202-225-4276,https://brianfitzpatrick.house.gov,514 Cannon House Office Building,repbrianfitz,,repbrianfitzpatrick,12/17/73,PA
N00035307,Brendan Boyle,Boyle,D,PA02,M,2014,202-225-6111,https://boyle.house.gov,1133 Longworth House Office Building,RepBrendanBoyle,,CongressmanBoyle,2/6/77,PA
N00038450,Dwight Evans,Evans,D,PA03,M,2016,202-225-4001,https://evans.house.gov,1105 Longworth House Office Building,RepDwightEvans,,RepDwightEvans,5/16/54,PA
N00042894,Madeleine Dean,Dean,D,PA04,F,2018,202-225-4731,https://dean.house.gov/,129 Cannon House Office Building,,,,6/6/59,PA
N00042706,Mary Gay Scanlon,Scanlon,D,PA05,F,2018,202-225-2011,https://scanlon.house.gov,1535 Longworth House Office Building,,,,8/30/59,PA
N00040949,Chrissy Houlahan,Houlahan,D,PA06,F,2018,202-225-4315,https://houlahan.house.gov/,1218 Longworth House Office Building,RepHoulahan,,,6/5/67,PA
N00041997,Susan Wild,Wild,D,PA07,F,2018,202-225-6411,https://wild.house.gov,1607 Longworth House Office Building,RepSusanWild,,,6/7/57,PA
N00034128,Matt Cartwright,Cartwright,D,PA08,M,2012,202-225-5546,http://cartwright.house.gov,1034 Longworth House Office Building,RepCartwright,,CongressmanMattCartwright,5/1/61,PA
N00029416,Dan Meuser,Meuser,R,PA09,M,2018,202-225-6511,https://meuser.house.gov/,326 Cannon House Office Building,RepMeuser,,,2/10/64,PA
N00034120,Scott Perry,Perry,R,PA10,M,2012,202-225-5836,http://perry.house.gov,1207 Longworth House Office Building,RepScottPerry,https://youtube.com/RepScottPerry,Rep.ScottPerry,5/27/62,PA
N00038781,Lloyd Smucker,Smucker,R,PA11,M,2016,202-225-2411,https://smucker.house.gov,516 Cannon House Office Building,RepSmucker,,RepSmucker,1/23/64,PA
N00049757,Summer Lee,Lee,D,PA12,F,2022,,,,,,,,PA
N00043242,John Joyce,Joyce,R,PA13,M,2018,202-225-2431,https://johnjoyce.house.gov/,1337 Longworth House Office Building,,,,2/8/57,PA
N00041871,Guy Reschenthaler,Reschenthaler,R,PA14,M,2018,202-225-2065,https://reschenthaler.house.gov/,531 Cannon House Office Building,,,,4/17/83,PA
N00029736,Glenn Thompson,Thompson,R,PA15,M,2008,202-225-5121,http://thompson.house.gov,124 Cannon House Office Building,CongressmanGT,https://youtube.com/CongressmanGT,CongressmanGT,7/27/59,PA
N00031647,Mike Kelly,Kelly,R,PA16,M,2010,202-225-5406,http://kelly.house.gov,1707 Longworth House Office Building,MikeKellyPA,https://youtube.com/repmikekelly,MikeKellyPA,5/10/48,PA
N00049160,Christopher Deluzio,Deluzio,D,PA17,M,2022,,,,,,,,PA
N00038201,John Fetterman,Fetterman,D,PAS1,M,2022,,,,,,,,PA
N00027503,Bob Casey,Casey,D,PAS2,M,2006,202-224-6324,https://www.casey.senate.gov,393 Russell Senate Office Building,SenBobCasey,https://youtube.com/SenatorBobCasey,SenatorBobCasey,4/13/60,PA
N00032019,David Cicilline,Cicilline,D,RI01,M,2010,202-225-4911,http://cicilline.house.gov,2244 Rayburn House Office Building,RepCicilline,https://youtube.com/RepDavidCicilline,CongressmanDavidCicilline,7/15/61,RI
N00052615,Gabe Amo,Amo,D,RI01,M,2023,,,,,,,,RI
N00050458,Seth Magaziner,Magaziner,D,RI02,M,2022,,,,,,,,RI
N00027533,Sheldon Whitehouse,Whitehouse,D,RIS1,M,2006,202-224-2921,https://www.whitehouse.senate.gov,530 Hart Senate Office Building,SenWhitehouse,https://youtube.com/SenatorWhitehouse,SenatorWhitehouse,10/20/55,RI
N00000362,Jack Reed,Reed,D,RIS2,M,1996,202-224-4642,https://www.reed.senate.gov,728 Hart Senate Office Building,SenJackReed,https://youtube.com/SenatorReed,SenJackReed,11/12/49,RI
N00038414,Lisa Blunt Rochester,Rochester,D,DE01,F,2016,202-225-4165,https://bluntrochester.house.gov,1123 Longworth House Office Building,RepBRochester,,Rep.BluntRochester,2/10/62,DE
N00012508,Tom Carper,Carper,D,DES1,M,2000,202-224-2441,https://www.carper.senate.gov/public,513 Hart Senate Office Building,SenatorCarper,https://youtube.com/senatorcarper,tomcarper,1/23/47,DE
N00031820,Chris Coons,Coons,D,DES2,M,2010,202-224-5042,https://www.coons.senate.gov,127a Russell Senate Office Building,SenCoonsOffice,https://youtube.com/senatorchriscoons,senatorchriscoons,9/9/63,DE
N00029495,Mariannette Miller-Meeks,Miller-Meeks,R,IA01,F,2020,202225-6576,https://millermeeks.house.gov/,"1716 Longworth House Office Building, Washington, DC 20515",@RepMMM,,,9/6/55,IA
N00044521,Ashley Hinson,Hinson,R,IA02,F,2020,202225-2911,https://hinson.house.gov/,"1429 Longworth House Office Building Washington, DC  20515",@RepAshleyHinson,,,6/27/83,IA
N00048870,Zach Nunn,Nunn,R,IA03,M,2022,,,,,,,,IA
N00044011,Randy Feenstra,Feenstra,R,IA04,M,2020,202225-4426,https://feenstra.house.gov/,"1440 Longworth House Office Building, Washington, DC 20515",@RepFeenstra,,RepFeenstra,1/14/69,IA
N00001758,Chuck Grassley,Grassley,R,IAS1,M,1980,202-224-3744,https://www.grassley.senate.gov,135 Hart Senate Office Building,ChuckGrassley,https://youtube.com/senchuckgrassley,grassley,9/17/33,IA
N00035483,Joni Ernst,Ernst,R,IAS2,F,2014,202-224-3254,https://www.ernst.senate.gov/public,111 Russell Senate Office Building,SenJoniErnst,,senjoniernst,7/1/70,IA
N00030743,Tracey Mann,Mann,R,KS01,M,2020,202225-2715,https://mann.house.gov/,"522 Cannon House Office Building, Washington, DC 20515",@RepMann,,,12/17/76,KS
N00044232,Jake Laturner,Laturner,R,KS02,M,2020,202225-6601,https://laturner.house.gov/,"1630 Longworth House Office Building Washington, DC  20515",@RepLaTurner,,,2/17/88,KS
N00042626,Sharice Davids,Davids,D,KS03,F,2018,202-225-2865,https://davids.house.gov/,1541 Longworth House Office Building,RepDavids,,,5/22/80,KS
N00040712,Ron Estes,Estes,R,KS04,M,2017,,https://estes.house.gov,,RepRonEstes,,RepRonEstes,7/19/56,KS
N00037034,Roger Marshall,Marshall,R,KSS1,M,2020,202-225-2715,https://marshall.house.gov,312 Cannon House Office Building,rogermarshallmd,,rogermarshallmd,8/9/60,KS
N00005282,Jerry Moran,Moran,R,KSS2,M,2010,202-224-6521,https://www.moran.senate.gov,521 Dirksen Senate Office Building,JerryMoran,https://youtube.com/senatorjerrymoran,jerrymoran,5/29/54,KS
N00050105,Jonathan Jackson,Jackson,D,IL01,M,2022,,,,,,,,IL
