cid,firstlast,lastname,party,office,gender,first_elected,exit_code,comments,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate,state
N00006023,Lloyd Doggett,Doggett,D,TX37,M,1994,0,,202-225-4865,202-225-3073,https://doggett.house.gov,https://forms.house.gov/doggett/webforms/issue_subscribe.htm,2307 Rayburn House Office Building,D000399,21689,H4TX10028,RepLloydDoggett,https://youtube.com/doggett,lloyddoggett,1946-10-06,TX
N00044362,Wesley Hunt,Hunt,R,TX38,M,2022,0,,,,,,,H001095,,H0TX07170,,,,,TX
N00024852,John Cornyn,Cornyn,R,TXS1,M,2002,0,,202-224-2934,202-228-2856,https://www.cornyn.senate.gov,https://www.cornyn.senate.gov/contact,517 Hart Senate Office Building,C001056,15375,S2TX00106,JohnCornyn,https://youtube.com/senjohncornyn,sen.johncornyn,1952-02-02,TX
N00033085,Ted Cruz,Cruz,R,TXS2,M,2012,0,,202-224-5922,202-228-3398,https://www.cruz.senate.gov,http://www.cruz.senate.gov/?p=email_senator,404 Russell Senate Office Building,C001098,135705,S2TX00312,SenTedCruz,https://youtube.com/sentedcruz,SenatorTedCruz,1970-12-22,TX
N00046688,Diana Harshbarger,Harshbarger,R,TN01,F,2020,0,,202225-6356,202225-5714,https://harshbarger.house.gov/,,"167 Cannon House Office Building Washington, DC  20515",H001086,,,@RepHarshbarger,,,,TN
N00041594,Tim Burchett,Burchett,R,TN02,M,2018,0,,202-225-5435,,https://burchett.house.gov/,,1122 Longworth House Office Building,B001309,,H8TN02119,RepTimBurchett,,,1964-08-25,TN
N00030815,Chuck Fleischmann,Fleischmann,R,TN03,M,2010,0,,202-225-3271,202-225-3494,http://fleischmann.house.gov,https://fleischmann.house.gov/contact-me/email-me,2410 Rayburn House Office Building,F000459,123456,H0TN03254,RepChuck,https://youtube.com/repchuck,repchuck,1962-10-11,TN
N00030957,Scott Desjarlais,Desjarlais,R,TN04,M,2010,0,,202-225-6831,202-226-5172,https://desjarlais.house.gov,http://desjarlais.house.gov/contact/email-me,2301 Rayburn House Office Building,D000616,123473,H0TN04195,DesJarlaisTN04,https://youtube.com/ScottDesJarlaisTN04,ScottDesJarlaisTN04,1964-02-21,TN
N00050943,Andy Ogles,Ogles,R,TN05,M,2022,0,,,,,,,O000175,,H2TN05446,,,,,TN
N00041599,John Rose,Rose,R,TN06,M,2018,0,,202-225-4231,,https://johnrose.house.gov/,,1232 Longworth House Office Building,R000612,,H8TN06094,,,,1965-02-23,TN
N00041873,Mark Green,Green,R,TN07,M,2018,0,,202-225-2811,,https://markgreen.house.gov,,533 Cannon House Office Building,G000590,,H8TN07076,RepMarkGreen,,,1964-11-08,TN
N00025445,David Kustoff,Kustoff,R,TN08,M,2016,0,,202-225-4714,,https://kustoff.house.gov,,508 Cannon House Office Building,K000392,,H2TN07103,repdavidkustoff,,RepDavidKustoff,1966-10-08,TN
N00003225,Steve Cohen,Cohen,D,TN09,M,2006,0,,202-225-3265,202-225-5663,https://cohen.house.gov,https://cohen.house.gov/contact-me/email-me,2404 Rayburn House Office Building,C001068,24340,H6TN09068,RepCohen,https://youtube.com/repcohen,CongressmanSteveCohen,1949-05-24,TN
N00003105,Marsha Blackburn,Blackburn,R,TNS1,F,2018,0,,202-225-2811,202-225-3004,http://blackburn.house.gov,https://blackburn.house.gov/contactform/email.htm,2266 Rayburn House Office Building,B001243,25186,H2TN06030,MarshaBlackburn,https://youtube.com/RepMarshaBlackburn,marshablackburn,1952-06-06,TN
N00045369,Bill Hagerty,Hagerty,R,TNS2,M,2020,0,,202224-4944,,https://www.hagerty.senate.gov/,,"Russell Senate Office Building Suite SR-B11  Washington, DC 20002",H000601,128466,,@SenatorHagerty,,,08/14/59,TN
N00042868,Kelly Armstrong,Armstrong,R,ND01,M,2018,0,,202-225-2611,,https://armstrong.house.gov/,,1004 Longworth House Office Building,A000377,,H8ND00096,RepArmstrongND,,,1976-10-08,ND
N00031688,John Hoeven,Hoeven,R,NDS1,M,2010,0,,202-224-2551,202-224-7999,https://www.hoeven.senate.gov,http://www.hoeven.senate.gov/public/index.cfm/email-the-senator,338 Russell Senate Office Building,H001061,41788,S0ND00093,SenJohnHoeven,https://youtube.com/senatorjohnhoevennd,SenatorJohnHoeven,1957-03-13,ND
N00004614,Kevin Cramer,Cramer,R,NDS2,M,2018,0,,202-225-2611,202-226-0893,http://cramer.house.gov,https://cramer.house.gov/contact/email-me,1717 Longworth House Office Building,C001096,444,H0ND01026,RepKevinCramer,https://youtube.com/kevincramer,CongressmanKevinCramer,1961-01-21,ND
N00050780,Mary Peltola,Peltola,D,AK01,F,2022,0,,,,,,,,,,,,,,AK
N00035774,Dan Sullivan,Sullivan,R,AKS1,M,2014,0,,202-224-3004,,https://www.sullivan.senate.gov,https://www.sullivan.senate.gov/contact/email,702 Hart Senate Office Building,S001198,,S4AK00214,SenDanSullivan,,SenDanSullivan,1964-11-13,AK
N00026050,Lisa Murkowski,Murkowski,R,AKS2,F,2002,0,,202-224-6665,202-224-5301,https://www.murkowski.senate.gov,https://www.murkowski.senate.gov/public/index.cfm/contact,522 Hart Senate Office Building,M001153,15841,S4AK00099,LisaMurkowski,https://youtube.com/senatormurkowski,SenLisaMurkowski,1957-05-22,AK
N00000575,John Larson,Larson,D,CT01,M,1998,0,,202-225-2265,202-225-1031,https://larson.house.gov,https://forms.house.gov/larson/contact_new.html,1501 Longworth House Office Building,L000557,17188,H8CT01046,RepJohnLarson,https://youtube.com/RepJohnLarson,RepJohnLarson,1948-07-22,CT
N00024842,Joe Courtney,Courtney,D,CT02,M,2006,0,,202-225-2076,202-225-4977,https://courtney.house.gov,https://courtney.house.gov/email-joe1,2348 Rayburn House Office Building,C001069,30333,H2CT02112,RepJoeCourtney,https://youtube.com/repcourtney,joecourtney,1953-04-06,CT
N00000615,Rosa DeLauro,DeLauro,D,CT03,F,1990,0,,202-225-3661,202-225-4890,https://delauro.house.gov,https://forms.house.gov/delauro/webforms/contact_form_email.shtml,2413 Rayburn House Office Building,D000216,26788,H0CT03072,RosaDeLauro,https://youtube.com/rosadelauro,CongresswomanRosaDeLauro,1943-03-02,CT
N00029070,Jim Himes,Himes,D,CT04,M,2008,0,,202-225-5541,202-225-9629,https://himes.house.gov,https://himes.house.gov/contact-me/email-me,1227 Longworth House Office Building,H001047,106744,H8CT04172,JAHimes,https://youtube.com/congressmanhimes,CongressmanJimHimes,1966-07-05,CT
N00043421,Jahana Hayes,Hayes,D,CT05,F,2018,0,,202-225-4476,,https://hayes.house.gov/,,1415 Longworth House Office Building,H001081,,H8CT05245,,,,1973-03-08,CT
N00027566,Christopher S Murphy,Murphy,D,CTS1,M,2012,0,,202-224-4041,202-225-5933,https://www.murphy.senate.gov,http://www.murphy.senate.gov/contact,136 Hart Senate Office Building,M001169,17189,H6CT05124,ChrisMurphyCT,https://youtube.com/senchrismurphy,chrismurphyct,1973-08-03,CT
N00031685,Richard Blumenthal,Blumenthal,D,CTS2,M,2010,0,,202-224-2823,202-224-9673,https://www.blumenthal.senate.gov,https://www.blumenthal.senate.gov/contact/,706 Hart Senate Office Building,B001277,1568,S0CT00177,SenBlumenthal,https://youtube.com/SenatorBlumenthal,SenBlumenthal,1946-02-13,CT
N00049900,Becca Balint,Balint,D,VT01,F,2022,0,,,,,,,B001318,,H2VT01076,,,,,VT
N00000528,Bernie Sanders,Sanders,I,VTS1,M,2006,0,,202-224-5141,202-228-0776,https://www.sanders.senate.gov,http://www.sanders.senate.gov/contact/comment,332 Dirksen Senate Office Building,S000033,27110,H8VT01016,SenSanders,https://youtube.com/senatorsanders,senatorsanders,1941-09-08,VT
N00000515,Peter Welch,Welch,D,VTS2,M,2022,0,,202-225-4115,202-225-6790,https://welch.house.gov,https://welch.house.gov/email-me,2303 Rayburn House Office Building,W000800,51272,H6VT00160,PeterWelch,https://youtube.com/reppeterwelch,PeterWelch,1947-05-02,VT
N00039533,John Bergman,Bergman,R,MI01,M,2016,0,,202-225-4735,,https://bergman.house.gov,,414 Cannon House Office Building,B001301,,H6MI01226,RepJackBergman,,RepJackBergman,1947-02-02,MI
N00036275,John Moolenaar,Moolenaar,R,MI02,M,2014,0,,202-225-3561,202-225-9679,https://moolenaar.house.gov,,117 Cannon House Office Building,M001194,,H4MI04126,RepMoolenaar,,RepMoolenaar,1961-05-08,MI
N00044885,Hillary Scholten,Scholten,D,MI03,F,2022,0,,,,,,,S001221,,H0MI03316,,,,,MI
N00030673,Bill Huizenga,Huizenga,R,MI04,M,2010,0,,202-225-4401,202-226-0779,http://huizenga.house.gov,http://huizenga.house.gov/contact/,2232 Rayburn House Office Building,H001058,38351,H0MI02094,RepHuizenga,https://youtube.com/RepHuizenga,RepHuizenga,1969-01-31,MI
N00026368,Tim Walberg,Walberg,R,MI05,M,2010,0,,202-225-6276,202-225-6281,http://walberg.house.gov,https://walberg.house.gov/contact/contactform.htm,2436 Rayburn House Office Building,W000798,8618,H4MI07103,RepWalberg,https://youtube.com/RepWalberg,RepWalberg,1951-04-12,MI
N00036149,Debbie Dingell,Dingell,D,MI06,F,2014,0,,202-225-4071,202-226-0371,https://debbiedingell.house.gov,,116 Cannon House Office Building,D000624,,H4MI12079,RepDebDingell,,RepDebbieDingell,1953-11-23,MI
N00041357,Elissa Slotkin,Slotkin,D,MI07,F,2018,15,Running for Senate,202-225-4872,,https://slotkin.house.gov/,,1531 Longworth House Office Building,S001208,,S4MI00470,RepSlotkin,,,1976-07-10,MI
N00033395,Dan Kildee,Kildee,D,MI08,M,2012,0,,202-225-3611,202-225-6393,http://dankildee.house.gov,https://dankildee.house.gov/contact/email-me,227 Cannon House Office Building,K000380,136102,H2MI05119,RepDanKildee,https://youtube.com/RepDanKildee,RepDanKildee,1958-08-11,MI
N00045730,Lisa McClain,Mcclain,R,MI09,F,2020,0,,202225-2106,202226-1169,https://mcclain.house.gov/,,"218 Cannon House Office Building Washington, DC  20515",M001136,,,@RepLisaMcClain,,,04/07/66,MI
N00041550,John James,James,R,MI10,M,2022,0,,,,,,,J000307,,H2MI10150,,,,,MI
N00040915,Haley Stevens,Stevens,D,MI11,F,2018,0,,202-225-8171,,https://stevens.house.gov/,,227 Cannon House Office Building,S001215,,H8MI11254,RepHaleyStevens,,,1983-06-01,MI
N00042649,Rashida Tlaib,Tlaib,D,MI12,F,2018,0,,202-225-5126,,https://tlaib.house.gov/,,1628 Longworth House Office Building,T000481,,H8MI13250,RepRashida,,,1976-07-24,MI
N00049602,Shri Thanedar,Thanedar,D,MI13,M,2022,0,,,,,,,,,,,,,,MI
N00029277,Gary Peters,Peters,D,MIS1,M,2014,0,,202-224-6221,202-226-2356,https://www.peters.senate.gov,https://www.peters.senate.gov/contact/email-gary,724 Hart Senate Office Building,P000595,8749,H8MI09068,SenGaryPeters,https://youtube.com/RepGaryPeters,SenGaryPeters,1958-12-01,MI
N00004118,Debbie Stabenow,Stabenow,D,MIS2,F,2000,4,Retiring at end of 118th Congress,202-224-4822,202-228-0325,https://www.stabenow.senate.gov,http://www.stabenow.senate.gov/?p=contact,731 Hart Senate Office Building,S000770,515,S8MI00281,SenStabenow,https://youtube.com/senatorstabenow,SenatorStabenow,1950-04-29,MI
N00050145,Mike Flood,Flood,R,NE01,M,2022,0,,,,,,,F000474,,H2NE01118,,,,,NE
N00037049,Don Bacon,Bacon,R,NE02,M,2016,0,,202-225-4155,,https://bacon.house.gov,,1516 Longworth House Office Building,B001298,,H6NE02125,RepDonBacon,,RepDonBacon,1963-08-16,NE
N00027623,Adrian Smith,Smith,R,NE03,M,2006,0,,202-225-6435,202-225-0207,http://adriansmith.house.gov,https://adriansmith.house.gov/contact-me/email-me,320 Cannon House Office Building,S001172,21284,H6NE03115,RepAdrianSmith,https://youtube.com/RepAdrianSmith,AdrianSmithNE,1970-12-19,NE
N00033443,Deb Fischer,Fischer,R,NES1,F,2012,0,,202-224-6551,202-228-1325,https://www.fischer.senate.gov,http://www.fischer.senate.gov/public/index.cfm/contact,454 Russell Senate Office Building,F000463,41963,S2NE00094,SenatorFischer,https://youtube.com/senatordebfischer,senatordebfischer,1951-03-01,NE
N00035544,Ben Sasse,Sasse,R,NES2,M,2014,9,Resigned for another job,202-224-4224,,https://www.sasse.senate.gov/public,http://www.sasse.senate.gov/public/index.cfm/email-ben,136 Russell Senate Office Building,S001197,,S4NE00090,SenSasse,,SenatorSasse,1972-02-22,NE
N00027695,Pete Ricketts,Ricketts,R,NES2,M,2023,0,Appointed to replace Ben Sasse,,,,,,,,,,,,,NE
N00029459,Rob Wittman,Wittman,R,VA01,M,2007,0,,202-225-4261,202-225-4382,http://wittman.house.gov,https://wittman.house.gov/contact-form/,2055 Rayburn House Office Building,W000804,58133,H8VA01147,RobWittman,https://youtube.com/RobWittman,RepRobWittman,1959-02-03,VA
N00048315,Jen Kiggans,Kiggans,R,VA02,F,2022,0,,,,,,,K000399,,H2VA02064,,,,,VA
N00002147,Bobby Scott,Scott,D,VA03,M,1992,0,,202-225-8351,202-225-8354,http://bobbyscott.house.gov,https://bobbyscott.house.gov/email-bobby-scott,1201 Longworth House Office Building,S000185,27117,H6VA01117,BobbyScott,https://youtube.com/repbobbyscott,RepBobbyScott,1947-04-30,VA
N00051961,Jennifer McClellan,McClellan,D,VA04,F,2023,0,Elected in special to replace McEachin,,,,,,,,,,,,,VA
N00045557,Bob Good,Good,R,VA05,M,2020,0,,202225-4711,202225-5681,https://good.house.gov/,,"1213 Longworth House Office Building, Washington, DC 20515",456853,,,@RepBobGood,,,09/11/65,VA
N00042296,Ben Cline,Cline,R,VA06,M,2018,0,,202-225-5431,,https://cline.house.gov/,,1009 Longworth House Office Building,C001118,,H8VA06104,RepBenCline,,,1972-02-29,VA
N00041418,Abigail Spanberger,Spanberger,D,VA07,F,2018,16,Running for Governor,202-225-2815,,https://spanberger.house.gov/,,1239 Longworth House Office Building,S001209,,H8VA07094,RepSpanberger,,,1979-08-07,VA
N00036018,Don Beyer,Beyer,D,VA08,M,2014,0,,202-225-4376,202-225-0017,http://beyer.house.gov,,1119 Longworth House Office Building,B001292,,H4VA08224,repdonbeyer,,repdonbeyer,1950-06-20,VA
N00032029,Morgan Griffith,Griffith,R,VA09,M,2010,0,,202-225-3861,202-225-0076,http://morgangriffith.house.gov,https://morgangriffith.house.gov/contact/contactform.htm,2202 Rayburn House Office Building,G000568,5148,H0VA09055,RepMGriffith,https://youtube.com/RepMorganGriffith,RepMorganGriffith,1958-03-15,VA
N00041002,Jennifer Wexton,Wexton,D,VA10,F,2018,4,Retiring at end of 118th Congress,202-225-5136,,https://wexton.house.gov/,,1217 Longworth House Office Building,W000825,,H8VA10106,RepWexton,,,1968-05-27,VA
N00029891,Gerry Connolly,Connolly,D,VA11,M,2008,0,,202-225-1492,202-225-3071,https://connolly.house.gov,https://forms.house.gov/connolly/contact-form.shtml,2238 Rayburn House Office Building,C001078,95078,H8VA11062,GerryConnolly,https://youtube.com/repconnolly,CongressmanGerryConnolly,1950-03-30,VA
N00033177,Tim Kaine,Kaine,D,VAS1,M,2012,0,,202-224-4024,202-228-6363,https://www.kaine.senate.gov,https://www.kaine.senate.gov/contact,231 Russell Senate Office Building,K000384,50772,S2VA00142,SenKaineOffice,https://youtube.com/SenatorTimKaine,SenatorKaine,1958-02-26,VA
N00002097,Mark Warner,Warner,D,VAS2,M,2008,0,,202-224-2023,202-224-6295,https://www.warner.senate.gov,http://www.warner.senate.gov/public/index.cfm?p=Contact,703 Hart Senate Office Building,W000805,535,S6VA00093,MarkWarner,https://youtube.com/SenatorMarkWarner,MarkRWarner,1954-12-15,VA
N00033987,Doug LaMalfa,Lamalfa,R,CA01,M,2012,0,,202-225-3076,530-534-7800,http://lamalfa.house.gov,https://lamalfa.house.gov/contact/email-me,322 Cannon House Office Building,L000578,29713,H2CA02142,RepLaMalfa,https://youtube.com/RepLaMalfa,RepLaMalfa,1960-07-02,CA
N00033030,Jared Huffman,Huffman,D,CA02,M,2012,0,,202-225-5161,202-225-5163,http://huffman.house.gov,https://huffman.house.gov/contact/email-me,1406 Longworth House Office Building,H001068,59849,H2CA06259,RepHuffman,https://youtube.com/rephuffman,RepHuffman,1964-02-18,CA
N00050259,Kevin Kiley,Kiley,R,CA03,M,2022,0,,,,,,,K000401,,H2CA03157,,,,,CA
N00007419,Mike Thompson,Thompson,D,CA04,M,1998,0,,202-225-3311,202-225-4335,http://mikethompson.house.gov,https://mikethompson.house.gov/contact/email-me,231 Cannon House Office Building,T000460,3564,H8CA01109,RepThompson,https://youtube.com/CongressmanMThompson,RepMikeThompson,1951-01-24,CA
N00006863,Tom McClintock,Mcclintock,R,CA05,M,2008,0,,202-225-2511,202-225-5444,http://mcclintock.house.gov,https://mcclintockforms.house.gov/forms/contact-form.shtml,2312 Rayburn House Office Building,M001177,9715,H8CA04152,RepMcClintock,https://youtube.com/McClintockCA04,Congressman-Tom-McClintock-81125319109,1956-07-10,CA
N00030717,Ami Bera,Bera,D,CA06,M,2012,0,,202-225-5716,202-226-1298,http://bera.house.gov,https://beraforms.house.gov/forms/writeyourrep/,1431 Longworth House Office Building,B001287,120030,H0CA03078,RepBera,https://youtube.com/repamibera,RepAmiBera,1965-03-02,CA
N00027459,Doris Matsui,Matsui,D,CA07,F,2005,0,,202-225-7163,202-225-0566,https://matsui.house.gov,https://matsui.house.gov/email-representative-matsui,2311 Rayburn House Office Building,M001163,28593,H6CA05195,DorisMatsui,https://youtube.com/RepDorisMatsui,doris.matsui,1944-09-25,CA
N00030856,John Garamendi,Garamendi,D,CA08,M,2009,0,,202-225-1880,202-225-5914,http://garamendi.house.gov,https://garamendi.house.gov/contact-me/email-me,2438 Rayburn House Office Building,G000559,29664,H0CA10149,RepGaramendi,https://youtube.com/garamendiCA10,repgaramendi,1945-01-24,CA
N00040853,Josh Harder,Harder,D,CA09,M,2018,0,,202-225-4540,,https://harder.house.gov/,,131 Cannon House Office Building,H001090,,H8CA10126,RepJoshHarder,,,1986-08-01,CA
N00030709,Mark Desaulnier,Desaulnier,D,CA10,M,2014,0,,202-225-2095,202-225-5609,https://desaulnier.house.gov,,115 Cannon House Office Building,D000623,,H0CA10073,RepDeSaulnier,,RepMarkDeSaulnier,1952-03-31,CA
N00007360,Nancy Pelosi,Pelosi,D,CA11,F,1987,0,,202-225-4965,202-225-8259,http://pelosi.house.gov,http://pelosi.house.gov/contact-me/email-me,233 Cannon House Office Building,P000197,26732,H8CA05035,NancyPelosi,https://youtube.com/nancypelosi,NancyPelosi,1940-03-26,CA
N00008046,Barbara Lee,Lee,D,CA12,F,1998,15,Running for Senate,202-225-2661,202-225-9817,https://lee.house.gov,http://lee.house.gov/contact-the-office/email-me,2267 Rayburn House Office Building,L000551,8315,H8CA09060,RepBarbaraLee,https://youtube.com/RepLee,RepBarbaraLee,1946-07-16,CA
N00050562,John Duarte,Duarte,R,CA13,M,2022,0,,,,,,,D000633,,H2CA13131,,,,,CA
N00033508,Eric Swalwell,Swalwell,D,CA14,M,2012,0,,202-225-5065,,https://swalwell.house.gov,http://swalwell.house.gov/contact-me/email-eric/,129 Cannon House Office Building,S001193,129529,H2CA15094,RepSwalwell,https://youtube.com/ericswalwell,CongressmanEricSwalwell,1980-11-16,CA
N00049438,Kevin Mullin,Mullin,D,CA15,M,2022,0,,,,,,,M001225,,H2CA14162,,,,,CA
N00007335,Anna Eshoo,Eshoo,D,CA16,F,1992,0,,202-225-8104,202-225-8890,http://eshoo.house.gov,https://eshoo.house.gov/email-me/,241 Cannon House Office Building,E000215,26741,H8CA12098,RepAnnaEshoo,https://youtube.com/RepAnnaEshoo,RepAnnaEshoo,1942-12-13,CA
N00026427,Ro Khanna,Khanna,D,CA17,M,2016,0,,202-225-2631,,https://khanna.house.gov,,513 Cannon House Office Building,K000389,,H4CA12055,RepRoKhanna,,RepRoKhanna,1976-09-13,CA
N00007479,Zoe Lofgren,Lofgren,D,CA18,F,1994,0,,202-225-3072,202-225-3336,https://lofgren.house.gov,http://lofgren.house.gov/contact/,1401 Longworth House Office Building,L000397,21899,H4CA16049,RepZoeLofgren,https://youtube.com/RepZoeLofgren,zoelofgren,1947-12-21,CA
N00038601,Jimmy Panetta,Panetta,D,CA19,M,2016,0,,202-225-2861,,https://panetta.house.gov,,228 Cannon House Office Building,P000613,,H6CA20152,RepJimmyPanetta,,RepJimmyPanetta,1969-10-01,CA
N00028152,Kevin McCarthy,Mccarthy,R,CA20,M,2006,0,,202-225-2915,202-225-2908,http://kevinmccarthy.house.gov,https://kevinmccarthy.house.gov/contact/email-me,2421 Rayburn House Office Building,M001165,28918,H6CA22125,GOPLeader,https://youtube.com/repkevinmccarthy,CongressmanKevinMcCarthy,1965-01-26,CA
N00026341,Jim Costa,Costa,D,CA21,M,2004,0,,202-225-3341,202-225-9308,https://costa.house.gov,http://www.house.gov/formcosta/issue.htm,2081 Rayburn House Office Building,C001059,3577,H4CA20082,RepJimCosta,https://youtube.com/RepJimCostaCA20,RepJimCosta,1952-04-13,CA
N00033367,David Valadao,Valadao,R,CA22,M,2012,0,,202-225-4695,202-226-3196,http://valadao.house.gov,http://valadao.house.gov/contact/,1728 Longworth House Office Building,V000129,120200,H2CA20094,RepDavidValadao,https://youtube.com/congressmanvaladao,CongressmanDavidValadao,1977-04-14,CA
N00045377,Jay Obernolte,Obernolte,R,CA23,M,2020,0,,202-225-5861,,https://obernolte.house.gov/,,"1029 Longworth House Office Building, Washington, DC 20515",O000019,,,@JayObernolte,,,08/18/70,CA
N00037015,Salud Carbajal,Carbajal,D,CA24,M,2016,0,,202-225-3601,,https://carbajal.house.gov,,212 Cannon House Office Building,C001112,,H6CA24303,RepCarbajal,,repsaludcarbajal,1964-11-18,CA
N00033510,Raul Ruiz,Ruiz,D,CA25,M,2012,0,,202-225-5330,202-225-1238,https://ruiz.house.gov,https://ruiz.house.gov/email-me,1319 Longworth House Office Building,R000599,136407,H2CA36439,CongressmanRuiz,https://youtube.com/repraulruiz,CongressmanRaulRuizMD,1972-08-25,CA
N00034254,Julia Brownley,Brownley,D,CA26,F,2012,0,,202-225-5811,202-225-1100,http://juliabrownley.house.gov,https://juliabrownley.house.gov/contact/email-me,1019 Longworth House Office Building,B001285,59904,H2CA00120,JuliaBrownley26,https://youtube.com/RepJuliaBrownley,RepJuliaBrownley,1952-08-28,CA
N00044298,Mike Garcia,Garcia,R,CA27,M,2020,0,,,,,,,,,,,,,,CA
N00030600,Judy Chu,Chu,D,CA28,F,2009,0,,202-225-5464,202-225-5467,https://chu.house.gov,http://chu.house.gov/connect-with-me/email-judy,2423 Rayburn House Office Building,C001080,16539,H0CA32101,RepJudyChu,https://youtube.com/RepJudyChu,RepJudyChu,1953-07-07,CA
N00033373,Tony Cardenas,Cardenas,D,CA29,M,2012,0,,202-225-6131,202-225-0819,https://cardenas.house.gov,https://cardenas.house.gov/contact/email-me,1510 Longworth House Office Building,C001097,9754,H2CA28113,RepCardenas,https://youtube.com/repcardenas,repcardenas,1963-03-31,CA
N00009585,Adam Schiff,Schiff,D,CA30,M,2000,15,Running for Senate,202-225-4176,202-225-5828,http://schiff.house.gov,https://schiff.house.gov/email-congressman-schiff1,2372 Rayburn House Office Building,S001150,9489,H0CA27085,RepAdamSchiff,https://youtube.com/adamschiff,RepAdamSchiff,1960-06-22,CA
N00006789,Grace Napolitano,Napolitano,D,CA31,F,1998,4,Retiring at end of 118th Congress,202-225-5256,202-225-0027,http://napolitano.house.gov,https://napolitano.house.gov/contact-me/email-me,1610 Longworth House Office Building,N000179,8393,H8CA34068,GraceNapolitano,https://youtube.com/RepGraceNapolitano,RepGraceNapolitano,1936-12-04,CA
N00006897,Brad Sherman,Sherman,D,CA32,M,1996,0,,202-225-5911,202-225-5879,http://sherman.house.gov,http://sherman.house.gov/contact/contact-congressman-sherman-form,2181 Rayburn House Office Building,S000344,142,H6CA24113,BradSherman,https://youtube.com/shermanca27,63158229861,1954-10-24,CA
N00033997,Pete Aguilar,Aguilar,D,CA33,M,2014,0,,202-225-3201,202-226-6962,https://aguilar.house.gov,,1223 Longworth House Office Building,A000371,,H2CA31125,reppeteaguilar,,reppeteaguilar,1979-06-19,CA
N00040597,Jimmy Gomez,Gomez,D,CA34,M,2017,0,,202-225-6235,,https://gomez.house.gov,,1530 Longworth House Office Building,G000585,,H8CA34266,RepJimmyGomez,,RepJimmyGomez,1974-11-25,CA
N00036107,Norma Torres,Torres,D,CA35,F,2014,0,,202-225-6161,202-225-8671,https://torres.house.gov,,1713 Longworth House Office Building,T000474,,H4CA35031,NormaJTorres,,RepNormaTorres,1965-04-04,CA
N00035825,Ted Lieu,Lieu,D,CA36,M,2014,0,,202-225-3976,202-225-4099,https://lieu.house.gov,,236 Cannon House Office Building,L000582,,H4CA33119,RepTedLieu,,RepTedLieu,1969-03-29,CA
N00049460,Sydney Kamlager,Kamlager,D,CA37,F,2022,0,,,,,,,K000400,,H2CA37304,,,,,CA
N00024870,Linda Sanchez,Sanchez,D,CA38,F,2002,0,,202-225-6676,202-226-1012,https://lindasanchez.house.gov,https://forms.house.gov/lindasanchez/webforms/issue_subscribe.htm,2329 Rayburn House Office Building,S001156,29674,H2CA39078,RepLindaSanchez,https://youtube.com/LindaTSanchez,CongresswomanLindaSanchez,1969-01-28,CA
N00006701,Mark Takano,Takano,D,CA39,M,2012,0,,202-225-2305,202-225-7018,https://takano.house.gov,https://takano.house.gov/contact/email-me,1507 Longworth House Office Building,T000472,22337,H2CA43245,RepMarkTakano,https://youtube.com/RepMarkTakano,RepMarkTakano,1960-12-10,CA
N00042386,Young Kim,Kim,R,CA40,F,2020,0,,202225-4111,,https://youngkim.house.gov/,,"1306 Longworth House Office Building Washington, DC  20515",K000397,151787,,@RepYoungKim,,,10/18/62,CA
N00007099,Ken Calvert,Calvert,R,CA41,M,1992,0,,202-225-1986,202-225-2004,http://calvert.house.gov,https://calvert.house.gov/contactform/,2205 Rayburn House Office Building,C000059,26777,H2CA37023,KenCalvert,https://youtube.com/RepKenCalvert,RepKenCalvert,1953-06-08,CA
N00049470,Robert Garcia,Garcia,D,CA42,M,2022,0,,,,,,,G000598,,H2CA47188,,,,,CA
N00006690,Maxine Waters,Waters,D,CA43,F,1990,0,,202-225-2201,202-225-7854,https://waters.house.gov,https://waters.house.gov/contact/contactform.htm,2221 Rayburn House Office Building,W000187,26759,H4CA23011,MaxineWaters,https://youtube.com/MaxineWaters,MaxineWaters,1938-08-15,CA
N00037019,Nanette Barragan,Barragan,D,CA44,F,2016,0,,202-225-8220,,https://barragan.house.gov,,1320 Longworth House Office Building,B001300,,H6CA44103,RepBarragan,,CongresswomanBarragan,1976-09-15,CA
N00044501,Michelle Steel,Steel,R,CA45,F,2020,0,,202225-2415,,https://steel.house.gov/,,"1113 Longworth House Office Building Washington, DC  20515",S001135,,,@RepSteel,,,06/21/55,CA
N00037260,Lou Correa,Correa,D,CA46,M,2016,0,,202-225-2965,,https://correa.house.gov,,1039 Longworth House Office Building,C001110,,H6CA46116,RepLouCorrea,,RepLouCorrea,1958-01-24,CA
N00040865,Katie Porter,Porter,D,CA47,F,2018,15,Running for Senate,202-225-5611,,https://porter.house.gov/,,1117 Longworth House Office Building,P000618,,S4CA00522,,,,1974-01-03,CA
N00007017,Darrell Issa,Issa,R,CA48,M,2000,0,,202-225-3906,202-225-3303,https://issa.house.gov,http://issa.house.gov/contact/contact-me,2269 Rayburn House Office Building,I000056,16553,H0CA48024,DarrellIssa,https://youtube.com/repdarrellissa,darrellissa,1953-11-01,CA
N00040667,Mike Levin,Levin,D,CA49,M,2018,0,,202-225-3906,,https://mikelevin.house.gov/,,1626 Longworth House Office Building,L000593,,H8CA49058,RepMikeLevin,,,1978-10-28,CA
